Institution_ID,Institution_Name,Institution_Address,Institution_City,Institution_State,Institution_Zip,Institution_Web_Address,
149930,Concordia University Wisconsin,12800 N. Lake Shore Dr.,Mequon,WI,"53097-2402",www.cuw.edu,
149930,Concordia University Wisconsin,12800 N. Lake Shore Dr.,Mequon,WI,"53097-2402",www.cuw.edu,
127486,Continental Academie of Hair Design,228 Maple Street,Manchester,NH,"03103",continentalacademie.net,
103644,Contra Costa College,2600 Mission Bell Dr,San Pablo,CA,"94806-3195",www.contracosta.cc.ca.us,
112783,Cooking and Hospitality Institute of Chicago,361 West Chestnut,Chicago,IL,"60610",WWW.CHICNET.ORG,
127981,Cooper Health System,1 Cooper Plz,Camden,NJ,"08103",www.cooperhealth.org,
119942,Coppin State University,2500 West North Avenue,Baltimore,MD,"21216-3698",www.coppin.edu,
110051,Core Institute,223 W. Carolina Street,Tallahassee,FL,"32301",www. coreinstitute.com,
130004,Cornell University,300 Day Hall,Ithaca,NY,"14853",www.cornell.edu,
171401,Cortiva Institute - Brian Utting School of Massage,"900 Thomas Street, Suite 200",Seattle,WA,"98109",www.busm.edu,
101125,Cortiva Institute - Desert Institute of the Healing Arts,6390 East Broadway Boulevard,Tucson,AZ,"85710",www.desertinstitute.org,
169886,Cortiva Institute - Somerset School of Massage Therapy,180 Centennial Avenue,Piscataway,NJ,"08854",www.ssmt.org,
168351,Coryell Cosmetology College,608 Leon St,Gatesville,TX,"76528",,
144713,Cosmetology Career Center - A Paul Mitchell Partner School,2389 A Midway Road,Carrollton,TX,"75006",www.cccdallastexas.com,
144713,Cosmetology Career Center - A Paul Mitchell Partner School,2389 A Midway Road,Carrollton,TX,"75006",www.cccdallastexas.com,
165796,Cox Health Systems - School of Radiologic Technology,1423 N. Jefferson Ave.,Springfield,MO,"65802",,
122287,Cranbrook Academy of Art,"39221 Woodward Avenue, P.O. Box 801",Bloomfield Hills,MI,"48303",www.cranbrook.edu,
207801,Crescent City Career Institute,429 Wall Boulevard,Gretna,LA,"70056",www.crescentcitycoders.com,
123934,Crossroads College,920 Mayowood Rd SW,Rochester,MN,"55902-2382",www.crossroadscollege.edu,
124292,Crown College,8700 College View Drive,Saint Bonifacius,MN,"55375-9001",www.crown.edu,
183488,Crystal Mountain School of Therapeutic Massage,"4775 Indian School Road, NE, Suite 102",Albuquerque,NM,"87110",www.crystalmtnmassage.com,
130040,Culinary Institute of America,1946 Campus Drive,Hyde Park,NY,"12538-1499",www.culinary.edu,
130040,Culinary Institute of America,1946 Campus Drive,Hyde Park,NY,"12538-1499",www.culinary.edu,
130040,Culinary Institute of America,1946 Campus Drive,Hyde Park,NY,"12538-1499",www.culinary.edu,
186007,D'Mart Institute - Ponce,Mayor Street #46 Sol Corner,Ponce,PR,"00731",,
199403,Dale Carnegie Training of Utah,"180 South 300 West, Suite 315",Salt Lake City,UT,"84101",www.utah.dalecarnegie.com,
130271,Darkei Noam Rabbinical College,2822 Ave J,Brooklyn,NY,"11210",,
127413,Dartmouth College,Dartmouth College,Hanover,NH,"03755-3529",www.dartmouth.edu,
156949,Davenport Barber Styling College,730 E Kimberly Rd,Davenport,IA,"52807",,
131654,Davis College,400 Riverside Drive,Johnson City,NY,"13790-2712",www.davisny.edu,
217095,Daymar College - Paducah,509 South 30th Street,Paducah,KY,"42001",www.paducahtech.edu,
159744,DCI Career Institute,366 Beaver Valley Mall,Monaca,PA,"15061",www.dci.edu,
187019,Delaware School of Hotel Management,3001 Philadelphia Pike,Claymont,DE,"19703",,
108746,Delaware State University,1200 N. Dupont Highway,Dover,DE,"19901",www.desu.edu,
108746,Delaware State University,1200 N. Dupont Highway,Dover,DE,"19901",www.desu.edu,
191302,Delma Graves Adult School,1225 M Street,Fresno,CA,"93421",,
142294,Denmark Technical College,500 Solomon Blatt Blvd,Denmark,SC,"29042",www.denmarktech.edu,
212948,Denver School of Nursing,1401 19th Street,Denver,CO,"80202",www.denverschoolofnursing.edu,
112844,DePaul University,1 East Jackson Blvd.,Chicago,IL,"60604",www.depaul.edu,
112844,DePaul University,1 East Jackson Blvd.,Chicago,IL,"60604",www.depaul.edu,
114655,DePauw University,313 S Locust St,Greencastle,IN,"46135-1772",www.depauw.edu,
122366,Detroit Business Institute - Downriver,19100 Fort St,Riverview,MI,"48193",www.dbidownriver.com,
101134,DeVoe College of Beauty,750 Bartow Dr,Sierra Vista,AZ,"85635-1832",www.personal.riverusers.com/~devoe/index.html,
165185,Dewey University - Hato Rey Campus,427 Barbosa Ave. Third Floor,Hato Rey,PR,"00910-9538",www.johndeweycollegepr.com,
191843,Digital Media Arts College,5400 Broken Sound Boulevard,Boca Raton,FL,"33487",,
118480,Dillard University,2601 Gentilly Blvd,New Orleans,LA,"70122",www.dillard.edu,
103820,Dominican University of California,50 Acacia Ave,San Rafael,CA,"94901-2298",www.dominican.edu,
212726,Dominion College,21024 24th Avenue South,Seattle,WA,"98198",,
103848,Don Bosco Technical Institute,1151 San Gabriel Blvd,Rosemead,CA,"91770-4299",www.boscotech.edu,
127963,Dover Business College - Clifton,600 Getty Avenue,Clifton,NJ,"07011",www.doverbusinesscollege.org,
127963,Dover Business College - Clifton,600 Getty Avenue,Clifton,NJ,"07011",www.doverbusinesscollege.org,
165936,Downeast School of Massage,"99 Moose Meadow Lane, PO Box 24",Waldoboro,ME,"04572",www.downeastschoolofmassage.net,
156365,DPT Business School,11000 Roosevelt Blvd Ste 200,Philadelphia,PA,"19116-9695",www.dptschool.com,
156365,DPT Business School,11000 Roosevelt Blvd Ste 200,Philadelphia,PA,"19116-9695",www.dptschool.com,
139311,Drexel University,3141 Chestnut St,Philadelphia,PA,"19104",www.drexel.edu,
139311,Drexel University,3141 Chestnut St,Philadelphia,PA,"19104",www.drexel.edu,
190646,Dudley Nwani International,966 Madison Square,Madison,TN,"37115",,
133368,Duke University,103 Allen Bldg,Durham,NC,"27708",www.duke.edu,
158769,DVS College,"3325 Wilshire Blvd, Ste 200 SUITE 200",Los Angeles,CA,"90010-1718",www.dvscollege.com,
158769,DVS College,"3325 Wilshire Blvd, Ste 200 SUITE 200",Los Angeles,CA,"90010-1718",www.dvscollege.com,
133386,East Carolina University,East 5th Street,Greenville,NC,"27858-4353",www.ecu.edu,
133386,East Carolina University,East 5th Street,Greenville,NC,"27858-4353",www.ecu.edu,
133386,East Carolina University,East 5th Street,Greenville,NC,"27858-4353",www.ecu.edu,
111009,East Central Technical College,667 Perry House Rd,Fitzgerald,GA,"31750",www.eastcentraltech.edu,
111009,East Central Technical College,667 Perry House Rd,Fitzgerald,GA,"31750",www.eastcentraltech.edu,
137421,East Central University,1100 E. 14th Street,Ada,OK,"74820",www.ecok.edu,
143297,East Tennessee State University,807 University Pky,Johnson City,TN,"37614-0000",www.etsu.edu,
143297,East Tennessee State University,807 University Pky,Johnson City,TN,"37614-0000",www.etsu.edu,
143297,East Tennessee State University,807 University Pky,Johnson City,TN,"37614-0000",www.etsu.edu,
119508,Eastern Maine Community College,354 Hogan Road,Bangor,ME,"04401",www.emcc.edu,
139375,Eastern University,1300 Eagle Rd,Saint Davids,PA,"19087-3696",www.eastern.edu,
148593,Eastern Washington University,526 5th Street,Cheney,WA,"99004-2496",www.ewu.edu,
128407,Eastwick College,103 Park Ave,Nutley,NJ,"07110",WWW.RETS-INSTITUTE.COM,
109253,Eckerd College,4200 54th Avenue South,Saint Petersburg,FL,"33711-4700",www.eckerd.edu,
152628,ECPI Technical College,800 Moorefield Pk Dr,Richmond,VA,"23236",www.ecpitech.edu,
178837,ECPI Technical College - Glen Allen,4305 Cox Rd.,Glen Allen,VA,"23060",,
152619,ECPI University,5555 Greenwich Rd Ste 300,Virginia Beach,VA,"23462",www.ecpi.edu,
199519,"Eddie C. Snow & Associates, Inc. Dale Carnegie Training",304 Pendleton Way,Oakland,CA,,www.oakland.dalecarnegie.com,
128984,Eddy County Beauty College,1115 W Mermod Street,Carlsbad,NM,"88220",,
149958,Edgewood College,1000 Edgewood College Drive,Madison,WI,"53711-1997",www.edgewood.edu,
139384,Edinboro University of Pennsylvania,219 Meadville Street,Edinboro,PA,"16444-0001",www.edinboro.edu,
169682,EdNet Career Institute,6018 Variel Avenue,Woodland Hills,CA,"91367",www.ednet4u.com,
103893,El Camino College,16007 Crenshaw Blvd,Torrance,CA,"90506",www.elcamino.edu,
144892,El Paso Community College,919 Hunter Drive,El Paso,TX,"79915-1908",www.epcc.edu,
179052,Electronic Data Processing College of Puerto Rico,P.O. Box 192303,Hato Rey,PR,"00919",,
151698,Electronic Data Processing College of Puerto Rico Inc,560 Ponce de Leon Ave.  Cr. Arroyo St.,San Juan,PR,"00919-2303",www.edpcollege.edu,
182546,Elite Beauty College - Garden Grove,"12141Brookhurst Street, Suite 101",Garden Grove,CA,"92841",,
112950,Elmhurst College,190 Prospect Ave,Elmhurst,IL,"60126-3096",www.elmhurst.edu,
111212,Emory University,201 Dowman Drive,Atlanta,GA,"30322",www.emory.edu,
111212,Emory University,201 Dowman Drive,Atlanta,GA,"30322",www.emory.edu,
131867,Empire Beauty School,22 W 34th St,New York,NY,"10001",www.LIBSBEAUTYSCHOOL.com,
163462,Empire Beauty School - Baltimore,5633 Reisterstown Road,Baltimore,MD,"21215-3434",www.empire.edu,
162788,Empire Beauty School - Boston,867 Boylston Street,Boston,MA,"02116",www.LIBSBEAUTYSCHOOL.com,
171757,Empire Beauty School - Framingham,624 Worcester Road,Framingham,MA,"01701",www.blainebeautyschools.com,
171757,Empire Beauty School - Framingham,624 Worcester Road,Framingham,MA,"01701",www.blainebeautyschools.com,
139481,Empire Beauty School - Lehigh Valley,1634 MacArthur Road,Whitehall,PA,"18052",www.empire.edu,
155070,Empire Beauty School - Malden,384 Main St,Malden,MA,"02148",www.LIBSBEAUTYSCHOOL.com,
157881,Empire Beauty School - Philadelphia,2632 S Broad Street,Philadelphia,PA,"19145-4616",www.empire.edu,
119669,Empire Beauty School - Portland,319 Marginal Way,Portland,ME,"04101",www.pierresschool.com,
139515,Empire Beauty School - Pottstown,141 High St,Pottstown,PA,"19464",www.empire.edu,
139472,Empire Beauty School - Pottsville,396 Pottsville/St. Claire Highway,Pottsville,PA,"17901",www.empire.edu,
139506,Empire Beauty School - Wyoming Valley,3370 Birney Avenue,Moosic,PA,"18507",www.empire.edu,
192156,Erie County Technical School,8500 Oliver Road,Erie,PA,"16509",www.ects.org,
105473,Everest College - Alhambra,2215 Mission Rd,Alhambra,CA,"91803",www.cci.edu,
155478,Everest College - City of Industry,12801 Crossroads Parkway South,City of Industry,CA,"91746-1023",www.bryman-college.com,
107293,Everest College - Colorado Springs,1815 Jet Wing Drive,Colorado Springs,CO,"80916",www.cci.edu,
107293,Everest College - Colorado Springs,1815 Jet Wing Drive,Colorado Springs,CO,"80916",www.cci.edu,
127273,Everest College - Henderson,170 North Stephanie,Henderson,NV,"89014",www.lasvegas-college.com,
155371,Everest College - Ontario,1460 S. Milliken Ave,Ontario,CA,"91761-2338",www.cci.edu,
155371,Everest College - Ontario,1460 S. Milliken Ave,Ontario,CA,"91761-2338",www.cci.edu,
138567,Everest College - Portland,600 SW 10th Avenue #400,Portland,OR,"97205",WWW.CCI.EDU,
105437,Everest College - Reseda,"18040 Sherman Way, Suite 400",Reseda,CA,"91335",www.cci.edu,
105437,Everest College - Reseda,"18040 Sherman Way, Suite 400",Reseda,CA,"91335",www.cci.edu,
105437,Everest College - Reseda,"18040 Sherman Way, Suite 400",Reseda,CA,"91335",www.cci.edu,
204510,Everest College - Seattle,"2111 North Northgate Way, Suite 218",Seattle,WA,"98133",http://ashmeadcollege.com,
204510,Everest College - Seattle,"2111 North Northgate Way, Suite 218",Seattle,WA,"98133",http://ashmeadcollege.com,
204510,Everest College - Seattle,"2111 North Northgate Way, Suite 218",Seattle,WA,"98133",http://ashmeadcollege.com,
204510,Everest College - Seattle,"2111 North Northgate Way, Suite 218",Seattle,WA,"98133",http://ashmeadcollege.com,
204510,Everest College - Seattle,"2111 North Northgate Way, Suite 218",Seattle,WA,"98133",http://ashmeadcollege.com,
204510,Everest College - Seattle,"2111 North Northgate Way, Suite 218",Seattle,WA,"98133",http://ashmeadcollege.com,
204510,Everest College - Seattle,"2111 North Northgate Way, Suite 218",Seattle,WA,"98133",http://ashmeadcollege.com,
204510,Everest College - Seattle,"2111 North Northgate Way, Suite 218",Seattle,WA,"98133",http://ashmeadcollege.com,
204510,Everest College - Seattle,"2111 North Northgate Way, Suite 218",Seattle,WA,"98133",http://ashmeadcollege.com,
122940,Everest College - Skokie,9811 Woods Drive,Skokie,IL,"60077-1074",www.olympia-college.com,
155034,Everest College- West Los Angeles,3000 S Robertson Blvd #300,Los Angeles,CA,"90034-3169",www.bryman-college.com,
111300,Everest Institute - Atlanta Downtown,"101 Marietta Street, NW Suite 600",Atlanta,GA,"30303",georgia-med.com/,
121576,Everest Institute - Brighton,1505 Commonwealth Ave,Brighton,MA,"02135-3605",CCI.EDU,
173391,Everest Institute - Eagan,"1000 Blue Gentian Road, Suite 250",Eagan,MN,"55121-1696",www.bryman-institute.com,
122542,Everest Institute - Grand Rapids,1750 Woodworth St NE,Grand Rapids,MI,"49525",www.everest.edu,
122542,Everest Institute - Grand Rapids,1750 Woodworth St NE,Grand Rapids,MI,"49525",www.everest.edu,
122542,Everest Institute - Grand Rapids,1750 Woodworth St NE,Grand Rapids,MI,"49525",www.everest.edu,
122542,Everest Institute - Grand Rapids,1750 Woodworth St NE,Grand Rapids,MI,"49525",www.everest.edu,
122542,Everest Institute - Grand Rapids,1750 Woodworth St NE,Grand Rapids,MI,"49525",www.everest.edu,
131803,Everest Institute - Rochester,1630 Portland Ave,Rochester,NY,"14621-3007",www.cci.edu,
145594,Everest Institute - San Antonio,6550 First Park Ten,San Antonio,TX,"78213",www.cci.edu,
145594,Everest Institute - San Antonio,6550 First Park Ten,San Antonio,TX,"78213",www.cci.edu,
110112,Everest University - North Orlando,5421 Diplomat Circle,Orlando,FL,"32810",www.cci.edu,
110112,Everest University - North Orlando,5421 Diplomat Circle,Orlando,FL,"32810",www.cci.edu,
110112,Everest University - North Orlando,5421 Diplomat Circle,Orlando,FL,"32810",www.cci.edu,
110112,Everest University - North Orlando,5421 Diplomat Circle,Orlando,FL,"32810",www.cci.edu,
110112,Everest University - North Orlando,5421 Diplomat Circle,Orlando,FL,"32810",www.cci.edu,
110112,Everest University - North Orlando,5421 Diplomat Circle,Orlando,FL,"32810",www.cci.edu,
110112,Everest University - North Orlando,5421 Diplomat Circle,Orlando,FL,"32810",www.cci.edu,
110112,Everest University - North Orlando,5421 Diplomat Circle,Orlando,FL,"32810",www.cci.edu,
117557,Ezell's Cosmetology School,504 Maple St,Murray,KY,"42071-2530",,
149374,Fairmont State University,1201 Locust Ave,Fairmont,WV,"26554-2470",www.fairmontstate.edu,
125639,Farmington Missouri Hospital Company,1212 Weber Road,Farmington,MO,"63640-3325",marmc.org,
103981,Fashion Institute of Design and Merchandising,919 South Grand Avenue,Los Angeles,CA,"90015-1421",WWW.FIDM.EDU,
103981,Fashion Institute of Design and Merchandising,919 South Grand Avenue,Los Angeles,CA,"90015-1421",WWW.FIDM.EDU,
103981,Fashion Institute of Design and Merchandising,919 South Grand Avenue,Los Angeles,CA,"90015-1421",WWW.FIDM.EDU,
103981,Fashion Institute of Design and Merchandising,919 South Grand Avenue,Los Angeles,CA,"90015-1421",WWW.FIDM.EDU,
191995,FastTrain College - Jacksonville,"10752 Deerwood Park Boulevard South, Suite 201",Jacksonville,FL,"32256",,
192022,FastTrain College - Miami,5555 West Flagler Street,Miami,FL,"33134",,
192022,FastTrain College - Miami,5555 West Flagler Street,Miami,FL,"33134",,
192004,FastTrain College - Plantation,51 North State Road 7,Plantation,FL,"33317",,
192004,FastTrain College - Plantation,51 North State Road 7,Plantation,FL,"33317",,
192013,FastTrain College - Tampa,2156 University Square Mall,Tampa,FL,"33612",,
192013,FastTrain College - Tampa,2156 University Square Mall,Tampa,FL,"33612",,
175087,Federal Correctional Institution - Dublin,"5701 8th Street, Camp Parks",Dublin,CA,"94568",,
152576,Flint River Technical College,1533 Hwy 19 S,Thomaston,GA,"30286-4752",www.flintrivertech.edu,
109457,Florida Career College - Miami,"1321 S.W. 107 Avenue, Suite 201B",Miami,FL,"33174",www.careercollege.edu,
109457,Florida Career College - Miami,"1321 S.W. 107 Avenue, Suite 201B",Miami,FL,"33174",www.careercollege.edu,
109457,Florida Career College - Miami,"1321 S.W. 107 Avenue, Suite 201B",Miami,FL,"33174",www.careercollege.edu,
168953,Florida Center for Theological Studies,"111 NE First Street, 8th Floor",Miami,FL,"33132",www.fcts.edu,
109165,Florida Christian College,1011 Bill Beck Blvd,Kissimmee,FL,"34744",www.fcc.edu,
109420,Florida International University,11200 SW 8th Street,Miami,FL,"33199",www.fiu.edu,
109420,Florida International University,11200 SW 8th Street,Miami,FL,"33199",www.fiu.edu,
109420,Florida International University,11200 SW 8th Street,Miami,FL,"33199",www.fiu.edu,
109420,Florida International University,11200 SW 8th Street,Miami,FL,"33199",www.fiu.edu,
109420,Florida International University,11200 SW 8th Street,Miami,FL,"33199",www.fiu.edu,
109448,Florida Memorial University,15800 NW 42 Ave,Miami Gardens,FL,"33054-6199",www.fmuniv.edu,
109262,Florida SouthWestern State College,8099 College Pky SW,Fort Myers,FL,"33919-0000",www.edison.edu,
109493,Florida Technical College,12900 Challenger Parkway,Orlando,FL,"32826",www.ftccollege.edu,
187666,Fort Wayne School of Radiography,700 Broadway,Fort Wayne,IN,"41802",,
155690,Fortis College,2108 Cobb Parkway,Smyrna,GA,"30080",medixschool.edu,
155344,Fortis College - Mobile,7033 Airport Boulevard,Mobile,AL,"36608",www.cappscollege.edu,
141547,Fortis Institute - Erie,5757 West 26th Street,Erie,PA,"16506-1013",www.tsbi.edu,
163408,Foundation College,"404 Camino Del Rio South, Suite 100",San Diego,CA,"92108",www.foundationcollege.edu,
121080,Framingham State University,100 State St,Framingham,MA,"01701-9101",www.framingham.edu,
107594,Front Range Community College,3645 W 112th Ave,Westminster,CO,"80031",www.frontrange.edu,
185624,Fuller Circles School for Therapeutic Massage,169 Rice Rips Rd.,Oakland,ME,"04963",,
217703,G.G.O Beauty School,2908 South Buckner Boulevard,Dallas,TX,"75227",,
111276,Gainesville State College,3820 Mundy Mill Rd,Oakwood,GA,"30566",www.gc.peachnet.edu,
151713,Gaither and Company Beauty College,414 E Willow St,Scottsboro,AL,"35768",,
104179,Galen College of Medical and Dental Assistants,"3908 W Caldwell, Suite A",Vislia,CA,"93277",,
178536,Galena City Schools,"P.O. Box 359, Antoski Drive",Galena,AK,,,
183354,Galiano Career Academy,"1140 E. Altamonte Drive, Suite 1020",Altamonte Springs,FL,"32701",www.galiano.edu,
108870,Gallaudet University,"800 Florida Ave, NE",Washington,DC,"20002-3695",www.gallaudet.edu,
139621,Gannon University,109 W Sixth St,Erie,PA,"16541",www.gannon.edu,
133465,Gardner-Webb University,110 South Main Street,Boiling Springs,NC,"28017-0997",www.gardner-webb.edu,
172626,Gates College,4450 West 182nd Street,Redondo Beach,CA,"90278",gatescollege.com,
130493,Genesee Community College,One College Rd,Batavia,NY,"14020",www.genesee.edu,
157711,Genesis Career College,1505 Noah Court,Lebanon,TN,"37087",www.stylemasters.net,
157711,Genesis Career College,1505 Noah Court,Lebanon,TN,"37087",www.stylemasters.net,
219790,Genesys Regional Medical Center,One Genesys Parkway,Grand Blanc,MI,"48439",,
108889,George Washington University,"2121 I Street, NW",Washington,DC,"20052",www.gwu.edu,
111522,Georgia Health Sciences University,1120 Fifteenth Street,Augusta,GA,"30912",www.mcg.edu,
111124,Georgia Northwestern Technical College - Floyd County Campus,One Maurice Culberson Dr,Rome,GA,"30161",www.gntc.edu,
111124,Georgia Northwestern Technical College - Floyd County Campus,One Maurice Culberson Dr,Rome,GA,"30161",www.gntc.edu,
111124,Georgia Northwestern Technical College - Floyd County Campus,One Maurice Culberson Dr,Rome,GA,"30161",www.gntc.edu,
111124,Georgia Northwestern Technical College - Floyd County Campus,One Maurice Culberson Dr,Rome,GA,"30161",www.gntc.edu,
111124,Georgia Northwestern Technical College - Floyd County Campus,One Maurice Culberson Dr,Rome,GA,"30161",www.gntc.edu,
231730,Georgia Regents University,1120 Fifteenth Street,Augusta,GA,"30912",,
111337,Georgia State University,33 Gilmer St SE,Atlanta,GA,"30302-3083",www.gsu.edu,
128285,Gibbs College,630 West Mt. Pleasant Avenue Route 10,Livingston,NJ,"07039",www.njgibbscollege.net,
227906,Gibbs College - Norwalk,10 Norden Place,Norwalk,CT,"06855",,
104221,Golden Gate Baptist Theological Seminary,201 Seminary Drive,Mill Valley,CA,"94941-3197",www.ggbts.edu,
125471,Goldfarb School of Nursing at Barnes-Jewish College,306 S Kingshighway Blvd,St. Louis,MO,"63110-1090",www.barnesjewishcollege.edu,
125471,Goldfarb School of Nursing at Barnes-Jewish College,306 S Kingshighway Blvd,St. Louis,MO,"63110-1090",www.barnesjewishcollege.edu,
125471,Goldfarb School of Nursing at Barnes-Jewish College,306 S Kingshighway Blvd,St. Louis,MO,"63110-1090",www.barnesjewishcollege.edu,
125471,Goldfarb School of Nursing at Barnes-Jewish College,306 S Kingshighway Blvd,St. Louis,MO,"63110-1090",www.barnesjewishcollege.edu,
148672,Gonzaga University,E 502 Boone Ave,Spokane,WA,"99258-0001",www.gonzaga.edu,
108126,Goodwin College,One Riverside Drive,East Hartford,CT,"06118",www.GOODWIN.EDU,
139685,Gordon Phillips School of Beauty Culture,37 Garrett Road,Upper Darby,PA,"19082-2302",www.empire.edu,
139694,Gordon Phillips School of Beauty Culture,108 W Germantown Pike Hillcrest Plaza,Norristown,PA,"19401-1330",www.empire.edu,
114752,Grace College and Seminary,200 Seminary Dr.,Winona Lake,IN,"46590",www.grace.edu,
115931,Graceland University,1 University Place,Lamoni,IA,"50140",www.graceland.edu,
210386,Graduate School USA,"600 Maryland Avenue, S.W.",Washington,DC,"20250",www.graduateschool.edu,
219347,"Great Lakes Institute of Technology, Toni & Guy",930 Peach Street,Erie,PA,"46504",,
157890,Greater Johnstown Career and Technology Center,445 Schoolhouse Road,Johnstown,PA,"15904",www.gjctc.org,
133492,Greensboro College,815 W Market St,Greensboro,NC,"27401-1875",www.greensborocollege.edu,
111364,Griffin Technical College,501 Varsity Rd,Griffin,GA,"30223-2042",www.griffintech.edu,
111364,Griffin Technical College,501 Varsity Rd,Griffin,GA,"30223-2042",www.griffintech.edu,
111364,Griffin Technical College,501 Varsity Rd,Griffin,GA,"30223-2042",www.griffintech.edu,
133508,Guilford College,5800 W Friendly Ave,Greensboro,NC,"27410-4108",www.guilford.edu,
109095,"GUTI, The Premier Beauty and Wellness Academy - Bradenton",4212 Cortez Road West,Bradenton,FL,"34210",WWW.BEAUTY-ACADEMY.US,
111391,Gwinnett Technical College,5150 Sugarloaf Parkway,Lawrenceville,GA,"30043-5702",www.gwinnetttech.edu,
100690,H Councill Trenholm State Technical College,1225 Air Base Blvd,Montgomery,AL,"36108",www.trenholmstate.edu,
175227,Hacienda La Puente Unified - Correctional Education Division,14101 E. Nelson Avenue,La Puente,CA,"91746",www.hlpusd.k12.ca.us/ced/index,
147615,Hampton University,100 East Queen Street,Hampton,VA,"23668-0099",www.hamptonu.edu,
147615,Hampton University,100 East Queen Street,Hampton,VA,"23668-0099",www.hamptonu.edu,
183150,HARDI Home Study Institute,"3455 Mill Run Drive, Suite 820",Columbus,OH,"43206",www.hardinet.org,
101949,Harding University,915 E. Market Ave.,Searcy,AR,"72149",www.harding.edu,
113096,Harrington College of Design,200 W. Madison,Chicago,IL,"60606",WWW.INTERIORDESIGN.EDU,
156426,Harrison Career Institute - Allentown,2102 Union Blvd,Allentown,PA,"18109",hci.edu,
171492,Harrison Career Institute - Clifton,1227-31 Main Ave,Clifton,NJ,"07111",hci.edu,
128744,Harrison Career Institute - Delran,"4000 Rte 130 N, Suite A, 2nd Floor",Delran,NJ,"08075",hci.edu,
156028,Harrison Career Institute - Deptford,1450 Clements Bridge Rd,Deptford,NJ,"08096",www.hci.edu,
167127,Harrison Career Institute - Ewing,"1001 Spruce Street, Suite 7",Ewing,NJ,"08638-3957",hci.edu,
156417,Harrison Career Institute - Jersey City,600 Pavonia Avenue,Jersey City,NJ,"07302",hci.edu,
156037,Harrison Career Institute - Oakhurst,2105 Hwy 35,Oakhurst,NJ,"07755",hci.edu,
158033,Harrison Career Institute - Philadelphia,"1619 Walnut Street, 3rd Floor",Philadelphia,PA,"19103",WWW.HCI.EDU,
168795,Harrison Career Institute - Pittsburgh,"717 Liberty Avenue, Suite 800",Pittsburgh,PA,"15222",hci.edu,
152415,Harrison Career Institute - Wilmington,"631 W. Newport Pike, Graystone Plaza",Wilmington,DE,"19804",hci.edu,
115001,Harrison College - Indianapolis,550 East Washington Street,Indianapolis,IN,"46204",www.harrison.edu,
173799,Hawaii College of Oriental Medicine,"180 Kinoole Street, Suite 301",Hilo,HI,"96720",www.tcmch.edu,
173799,Hawaii College of Oriental Medicine,"180 Kinoole Street, Suite 301",Hilo,HI,"96720",www.tcmch.edu,
111966,Hawaii Pacific University,1164 Bishop St.,Honolulu,HI,"96813",www.hpu.edu,
111966,Hawaii Pacific University,1164 Bishop St.,Honolulu,HI,"96813",www.hpu.edu,
188605,Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"94597",www.heald.edu,
188605,Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"94597",www.heald.edu,
188605,Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"94597",www.heald.edu,
188605,Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"94597",www.heald.edu,
188605,Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"94597",www.heald.edu,
188605,Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"94597",www.heald.edu,
188605,Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"94597",www.heald.edu,
188605,Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"94597",www.heald.edu,
188605,Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"94597",www.heald.edu,
188605,Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"94597",www.heald.edu,
188605,Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"94597",www.heald.edu,
188605,Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"94597",www.heald.edu,
188605,Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"94597",www.heald.edu,
174640,Healing Hands Institute for Massage Therapy,41 Bergenline Avenue,Westwood,NJ,"07675",,
152309,Health Enrichment Center Inc,204 E Nepessing Street,Lapeer,MI,"48446-7771",www.healthenrichment.com,
170967,Healthy Hair Academy - Dallas,"9009 Bruton Road, Suite #443",Dallas,TX,"75217",,
184807,Heartwood Institute,220 Harmony Lane,Garberville,CA,"95542",www.heartwoodinstitute.com,
135656,Hebrew Union College - Jewish Institute of Religion - New York,One West 4th Street,New York,NY,"10012-1186",www.huc.edu,
135656,Hebrew Union College - Jewish Institute of Religion - New York,One West 4th Street,New York,NY,"10012-1186",www.huc.edu,
169877,Helma Institute of Massage Therapy,190 Midland Ave,Saddle Brook,NJ,"07663",www.helma.com,
101958,Henderson State University,1100 Henderson St,Arkadelphia,AR,"71999-0001",www.hsu.edu,
148557,Henry Cogswell College,3002 Colby Avenue,Everett,WA,"98201",www.henrycogswell.edu,
